mean,variance,std_dev,morans_I,n,shape_r,shape_c,run,label,method,factor,pixel_size_rel
0.5850191329811889,0.022221599470646673,0.1490691097130679,0.9955363816246501,262144,512,512,9,perlin_MF,perlin,1,1.0
0.5850191329811889,0.02211475740206819,0.14871031370442397,0.9864636129543913,65536,256,256,9,perlin_MF,perlin,2,2.0
0.5850191329811889,0.021807509158659928,0.14767365763283555,0.9636717245943919,16384,128,128,9,perlin_MF,perlin,4,4.0
0.5850191329811889,0.021084682203176525,0.145205654859501,0.9171362182027581,4096,64,64,9,perlin_MF,perlin,8,8.0
0.5850191329811889,0.019437570102246567,0.13941868634529078,0.8276862671258363,1024,32,32,9,perlin_MF,perlin,16,16.0
0.5850191329811889,0.016657794022567375,0.12906507669608916,0.6458882636853268,256,16,16,9,perlin_MF,perlin,32,32.0
0.5433030103122106,0.030980006609638313,0.17601138204570269,0.9908301861639573,262144,512,512,0,perlin_HF,perlin,1,1.0
0.5433030103122106,0.030693509494514416,0.1751956320645992,0.9775899651579733,65536,256,256,0,perlin_HF,perlin,2,2.0
0.5433030103122105,0.030030577449344845,0.17329332776926193,0.9433464631769178,16384,128,128,0,perlin_HF,perlin,4,4.0
0.5433030103122105,0.028430855861679663,0.16861451853763856,0.861233787333889,4096,64,64,0,perlin_HF,perlin,8,8.0
0.5433030103122105,0.024775558209543667,0.15740253558803832,0.6743216771534545,1024,32,32,0,perlin_HF,perlin,16,16.0
0.5433030103122105,0.018135559552510873,0.13466833166157094,0.29228422270063625,256,16,16,0,perlin_HF,perlin,32,32.0
0.5595966130986927,0.02738331613612004,0.16547905044482228,0.9907766542065917,262144,512,512,1,perlin_HF,perlin,1,1.0
0.5595966130986927,0.027129666204606336,0.1647108563653481,0.9769244611892984,65536,256,256,1,perlin_HF,perlin,2,2.0
0.5595966130986927,0.026509961900305523,0.1628188008195169,0.9409360031082805,16384,128,128,1,perlin_HF,perlin,4,4.0
0.5595966130986927,0.02500252359654708,0.15812186312002235,0.8526378708228753,4096,64,64,1,perlin_HF,perlin,8,8.0
0.5595966130986927,0.02140968476240633,0.14632048647542945,0.6582747062785466,1024,32,32,1,perlin_HF,perlin,16,16.0
0.5595966130986927,0.015221782581566229,0.12337658846623305,0.27130486551515665,256,16,16,1,perlin_HF,perlin,32,32.0
0.5480119625126837,0.029000248291587115,0.17029459266690505,0.9904717852133167,262144,512,512,2,perlin_HF,perlin,1,1.0
0.5480119625126836,0.028723278897500627,0.16947943502826715,0.9764563682592964,65536,256,256,2,perlin_HF,perlin,2,2.0
0.5480119625126837,0.02806725450353128,0.16753284604378713,0.9399709271914879,16384,128,128,2,perlin_HF,perlin,4,4.0
0.5480119625126837,0.026451194536844233,0.16263823208841222,0.85235545902124,4096,64,64,2,perlin_HF,perlin,8,8.0
0.5480119625126837,0.022953262716861884,0.15150334226300713,0.6631352535592644,1024,32,32,2,perlin_HF,perlin,16,16.0
